date,state,death,deathIncrease,hospitalizedCurrently,inIcuCurrently
6/22/2020,CA,5515,20,4804,1412
6/21/2020,CA,5495,71,4679,1366
6/20/2020,CA,5424,64,4582,1332
6/19/2020,CA,5360,70,4587,1329
6/18/2020,CA,5290,82,4584,1298
6/17/2020,CA,5208,87,4522,1318
6/16/2020,CA,5121,32,4462,1272
6/15/2020,CA,5089,26,4323,1270
6/14/2020,CA,5063,74,4247,1280
6/13/2020,CA,4989,46,4411,1313
6/12/2020,CA,4943,62,4480,1310
6/11/2020,CA,4881,105,4534,1325
6/10/2020,CA,4776,79,4719,1326
6/9/2020,CA,4697,44,4583,1345
6/8/2020,CA,4653,27,4506,1301
6/7/2020,CA,4626,67,4525,1288
6/6/2020,CA,4559,74,4526,1315
6/5/2020,CA,4485,63,4625,1333
6/4/2020,CA,4422,61,4455,1279
6/3/2020,CA,4361,75,4458,1313
6/2/2020,CA,4286,35,4393,1286
6/1/2020,CA,4251,38,4258,1273
5/31/2020,CA,4213,57,4331,1324
5/30/2020,CA,4156,88,4215,1273
5/29/2020,CA,4068,95,4414,1328
5/28/2020,CA,3973,89,4529,1325
5/27/2020,CA,3884,70,4544,1407
5/26/2020,CA,3814,19,4404,1392
5/25/2020,CA,3795,21,4306,1301
5/24/2020,CA,3774,66,4300,1315
5/23/2020,CA,3708,78,4342,1312
5/22/2020,CA,3630,88,4762,1317
5/21/2020,CA,3542,106,4735,1310
5/20/2020,CA,3436,102,4681,1345
5/19/2020,CA,3334,32,4363,1307
5/18/2020,CA,3302,41,4391,1325
5/17/2020,CA,3261,57,4291,1293
5/16/2020,CA,3204,96,4424,1313
5/15/2020,CA,3108,76,4519,1324
5/14/2020,CA,3032,98,4655,1324
5/13/2020,CA,2934,87,4545,1314
5/12/2020,CA,2847,77,4544,1349
5/11/2020,CA,2770,25,4549,1329
5/10/2020,CA,2745,67,4555,1328
5/9/2020,CA,2678,93,4538,1349
5/8/2020,CA,2585,81,4514,1342
5/7/2020,CA,2504,92,4560,1374
5/6/2020,CA,2412,95,4681,1415
5/5/2020,CA,2317,63,4622,1388
5/4/2020,CA,2254,39,4616,1464
5/3/2020,CA,2215,44,4734,1468
5/2/2020,CA,2171,98,4722,1433
5/1/2020,CA,2073,91,4706,1434
4/30/2020,CA,1982,95,4981,1473
4/29/2020,CA,1887,78,5011,1512
4/28/2020,CA,1809,54,4983,1485
4/27/2020,CA,1755,45,4878,1499
4/26/2020,CA,1710,59,4928,1473
4/25/2020,CA,1651,89,4847,1458
4/24/2020,CA,1562,93,4880,1521
4/23/2020,CA,1469,115,4929,1531
4/22/2020,CA,1354,86,4984,1551
4/21/2020,CA,1268,60,4886,1502
4/20/2020,CA,1208,42,4674,1480
4/19/2020,CA,1166,94,4731,1457
4/18/2020,CA,1072,87,4936,1490
4/17/2020,CA,985,95,4892,1484
4/16/2020,CA,890,69,5031,1568
4/15/2020,CA,821,63,5163,1175
4/14/2020,CA,758,71,5163,1552
4/13/2020,CA,687,36,3015,1178
4/12/2020,CA,651,42,5234,1539
4/11/2020,CA,609,68,5236,1591
4/10/2020,CA,541,49,2897,1145
4/9/2020,CA,492,50,2825,1132
4/8/2020,CA,442,68,2714,1154
4/7/2020,CA,374,31,2611,1108
4/6/2020,CA,343,24,2509,1085
4/5/2020,CA,319,43,2398,1040
4/4/2020,CA,276,39,2300,1008
4/3/2020,CA,237,34,2188,901
4/2/2020,CA,203,32,1922,816
4/1/2020,CA,171,18,1855,774
3/31/2020,CA,153,20,1617,657
3/30/2020,CA,133,10,1432,597
3/29/2020,CA,123,22,1034,410
3/28/2020,CA,101,23,1034,410
3/27/2020,CA,78,13,746,200
3/26/2020,CA,65,12,,
3/25/2020,CA,53,13,,
3/24/2020,CA,40,13,,
3/23/2020,CA,27,0,,
3/22/2020,CA,27,3,,
3/21/2020,CA,24,4,,
3/20/2020,CA,20,2,,
3/19/2020,CA,18,5,,
3/18/2020,CA,13,2,,
3/17/2020,CA,11,5,,
3/16/2020,CA,6,1,,
3/15/2020,CA,5,0,,
3/14/2020,CA,5,1,,
3/13/2020,CA,4,0,,
3/12/2020,CA,4,4,,
3/11/2020,CA,,0,,
3/10/2020,CA,,0,,
3/9/2020,CA,,0,,
3/8/2020,CA,,0,,
3/7/2020,CA,,0,,
3/6/2020,CA,,0,,
3/5/2020,CA,,0,,
3/4/2020,CA,,0,,
